CA1-3 Personal income summary,,,Year: 2011,,
41031,"Jefferson, OR",21771,606875,27875,33527
41033,"Josephine, OR",82987,2498196,30103,32353
41035,"Klamath, OR",66299,1986406,29961,34282
41037,"Lake, OR",7908,254580,32193,34302
41039,"Lane, OR",353416,12214306,34561,36714
41041,"Lincoln, OR",45933,1572179,34228,31870
41043,"Linn, OR",118122,3553431,30083,37463
41045,"Malheur, OR",31068,773352,24892,30895
41047,"Marion, OR",318872,10790917,33841,38482
41049,"Morrow, OR",11169,424748,38029,38323
41051,"Multnomah, OR",748031,31161157,41658,49206
41053,"Polk, OR",75993,2388985,31437,31082
41055,"Sherman, OR",1718,94759,55157,33310
41057,"Tillamook, OR",25403,868635,34194,32600
41059,"Umatilla, OR",76725,2355523,30701,36218
41061,"Union, OR",25791,826169,32033,32664
41063,"Wallowa, OR",6990,238347,34098,29233
41065,"Wasco, OR",25234,880102,34878,36320
41067,"Washington, OR",540410,23042656,42639,57094
41069,"Wheeler, OR",1426,41040,28780,24428
41071,"Yamhill, OR",100000,3398043,33980,35398
42001,"Adams, PA",101434,3383848,33360,35401
42003,"Allegheny, PA",1227066,59895223,48812,50867
42005,"Armstrong, PA",68568,2337726,34094,37429
42007,"Beaver, PA",170414,6479948,38025,38649
42009,"Bedford, PA",49739,1569975,31564,33104
42011,"Berks, PA",412778,15551509,37675,42276
42013,"Blair, PA",127099,4386291,34511,35445
42015,"Bradford, PA",62917,2105315,33462,39310
42017,"Bucks, PA",626854,34232169,54609,46264
42019,"Butler, PA",184848,8110383,43876,42965
42021,"Cambria, PA",143728,4715784,32810,34723
42023,"Cameron, PA",5010,168548,33642,33853
42025,"Carbon, PA",65154,2110598,32394,30404
42027,"Centre, PA",154722,5468940,35347,34061
42029,"Chester, PA",503897,29965229,59467,61655
42031,"Clarion, PA",40013,1317658,32931,31405
42033,"Clearfield, PA",81445,2620988,32181,33516
42035,"Clinton, PA",39208,1251219,31912,34787
42037,"Columbia, PA",67476,2093457,31025,33467
42039,"Crawford, PA",88740,2793999,31485,33728
42041,"Cumberland, PA",237892,10122876,42552,43962
42043,"Dauphin, PA",268977,11046026,41067,46655
42045,"Delaware, PA",559494,27859873,49795,50539
42047,"Elk, PA",31751,1158033,36472,35543
42049,"Erie, PA",280985,9756169,34721,37570
42051,"Fayette, PA",136097,4562935,33527,33706
42053,"Forest, PA",7589,182240,24014,35978
42055,"Franklin, PA",150811,5169364,34277,36916
42057,"Fulton, PA",14801,470786,31808,37721
42059,"Greene, PA",38623,1371077,35499,51261
42061,"Huntingdon, PA",45875,1335307,29108,32467
42063,"Indiana, PA",89298,3090916,34613,39061
42065,"Jefferson, PA",44976,1482378,32959,34356
42067,"Juniata, PA",24400,765792,31385,30253
42069,"Lackawanna, PA",214166,8175011,38171,35931
42071,"Lancaster, PA",523594,19653012,37535,39313
42073,"Lawrence, PA",90535,3030634,33475,36727
42075,"Lebanon, PA",134311,5169469,38489,36515
42077,"Lehigh, PA",352947,14431990,40890,46522
42079,"Luzerne, PA",320651,11684809,36441,36722
42081,"Lycoming, PA",116747,4119201,35283,37049
42083,"McKean, PA",43222,1476943,34171,37812
42085,"Mercer, PA",116205,3850611,33136,35375
42087,"Mifflin, PA",46858,1406517,30017,33218
42089,"Monroe, PA",169882,5362473,31566,39186
42091,"Montgomery, PA",804210,52046625,64718,59622
42093,"Montour, PA",18296,761690,41632,55537
42095,"Northampton, PA",298476,11663742,39078,41519
42097,"Northumberland, PA",94558,3151440,33328,34173
42099,"Perry, PA",46042,1582335,34367,28737
42101,"Philadelphia, PA",1536471,59985889,39041,55491
42103,"Pike, PA",56852,2019551,35523,31109
42105,"Potter, PA",17453,560582,32120,35951
42107,"Schuylkill, PA",147513,4830163,32744,35181
42109,"Snyder, PA",39819,1235636,31031,30877
42111,"Somerset, PA",77405,2596874,33549,34573
42113,"Sullivan, PA",6479,204517,31566,30786
42115,"Susquehanna, PA",43192,1337867,30975,34311
42117,"Tioga, PA",42419,1276814,30100,35412
42119,"Union, PA",44847,1422598,31721,37612
42121,"Venango, PA",54683,1838900,33628,35414
42123,"Warren, PA",41441,1378657,33268,34541
42125,"Washington, PA",208282,9630255,46237,44988
42127,"Wayne, PA",53004,1718982,32431,33832
42129,"Westmoreland, PA",364471,15129266,41510,39140
42131,"Wyoming, PA",28406,916811,32275,41965
42133,"York, PA",436770,16326281,37380,42084
44001,"Bristol, RI",49800,2734976,54919,36530
44003,"Kent, RI",165535,7642174,46167,43497
44005,"Newport, RI",82695,4303320,52038,48614
44007,"Providence, RI",626709,25236113,40268,48664
44009,"Washington, RI",126563,6208811,49057,39513
45001,"Abbeville, SC",25161,683606,27169,32731
45003,"Aiken, SC",160682,5646463,35141,48056
45005,"Allendale, SC",10181,266371,26164,40285
45007,"Anderson, SC",188488,5854207,31059,35635
45009,"Bamberg, SC",15975,412437,25818,27682
45011,"Barnwell, SC",22358,582732,26064,31705
45013,"Beaufort, SC",164684,6861132,41662,37279
45015,"Berkeley, SC",183525,6090127,33184,44209
45017,"Calhoun, SC",15145,521452,34431,38876
45019,"Charleston, SC",357704,14900450,41656,43612
45021,"Cherokee, SC",55540,1491556,26856,34383
45023,"Chester, SC",32916,929451,28237,36906
45025,"Chesterfield, SC",46557,1143144,24554,33538
45027,"Clarendon, SC",34726,848376,24431,28694
45029,"Colleton, SC",38611,1131725,29311,31506
45031,"Darlington, SC",68299,2004891,29355,40636
45033,"Dillon, SC",31758,749993,23616,29500
45035,"Dorchester, SC",140892,4715390,33468,34134
45037,"Edgefield, SC",26670,896510,33615,32699
45039,"Fairfield, SC",23571,637881,27062,46505
45041,"Florence, SC",137862,4749296,34450,38444
45043,"Georgetown, SC",59991,2303848,38403,35475
45045,"Greenville, SC",461299,17385834,37689,42988
45047,"Greenwood, SC",69835,2122839,30398,36985
45049,"Hampton, SC",20821,567069,27235,37726
45051,"Horry, SC",276340,8054854,29148,31123
45053,"Jasper, SC",25195,677643,26896,32793
45055,"Kershaw, SC",62273,2075622,33331,36326
45057,"Lancaster, SC",77908,2049128,26302,37657
45059,"Laurens, SC",66528,1969835,29609,34363
45061,"Lee, SC",18976,500574,26379,31688
45063,"Lexington, SC",267129,9405981,35211,37238
45065,"McCormick, SC",10035,276057,27509,30949
45067,"Marion, SC",32846,867042,26397,30010
45069,"Marlboro, SC",28509,688650,24156,37120
45071,"Newberry, SC",37721,1120215,29697,32931
45073,"Oconee, SC",74418,2378718,31964,42232
45075,"Orangeburg, SC",91910,2662173,28965,33867
45077,"Pickens, SC",119574,3328152,27833,34912
45079,"Richland, SC",389116,14143021,36347,43665
45081,"Saluda, SC",19882,686809,34544,27116
45083,"Spartanburg, SC",286868,9085133,31670,42377
45085,"Sumter, SC",107460,3214636,29915,36771
45087,"Union, SC",28679,770296,26859,31952
45089,"Williamsburg, SC",34084,929246,27263,34018
45091,"York, SC",230528,7850232,34053,39909
46003,"Aurora, SD",2694,159206,59097,28724
46005,"Beadle, SD",17550,843393,48057,33172
46007,"Bennett, SD",3441,115966,33701,26247
46009,"Bon Homme, SD",6983,276305,39568,27530
46011,"Brookings, SD",32226,1312580,40730,33331
46013,"Brown, SD",36822,1851197,50274,34715
46015,"Brule, SD",5283,268499,50823,26167
46017,"Buffalo, SD",1988,61289,30829,34216
46019,"Butte, SD",10259,319146,31109,28461
46021,"Campbell, SD",1427,89838,62956,25432
46023,"Charles Mix, SD",9208,369425,40120,27572
46025,"Clark, SD",3628,196439,54145,26976
46027,"Clay, SD",14051,605687,43106,27239
46029,"Codington, SD",27442,1133946,41322,34177
46031,"Corson, SD",4022,157618,39189,30591
46033,"Custer, SD",8338,300044,35985,29111
46035,"Davison, SD",19651,867547,44148,32119
46037,"Day, SD",5741,263147,45836,27889
46039,"Deuel, SD",4359,207826,47677,35401
46041,"Dewey, SD",5421,216416,39922,30987
46043,"Douglas, SD",2972,175987,59215,28161
46045,"Edmunds, SD",4056,260555,64239,31351
46047,"Fall River, SD",6981,272651,39056,36160
46049,"Faulk, SD",2367,146462,61877,29066
46051,"Grant, SD",7250,328834,45356,33129
46053,"Gregory, SD",4216,203877,48358,25244
46055,"Haakon, SD",1907,124842,65465,30780
46057,"Hamlin, SD",5978,248481,41566,29319
46059,"Hand, SD",3423,200635,58614,27290
46061,"Hanson, SD",3376,202369,59943,30198
46063,"Harding, SD",1269,61766,48673,31346
46065,"Hughes, SD",17292,803236,46451,35612
46067,"Hutchinson, SD",7257,383692,52872,28581
46069,"Hyde, SD",1394,91867,65902,32554
46071,"Jackson, SD",3169,99531,31408,26840
46073,"Jerauld, SD",2085,135961,65209,30026
46075,"Jones, SD",1003,60201,60021,24673
46077,"Kingsbury, SD",5179,295977,57149,29372
46079,"Lake, SD",11567,537006,46426,31174
46081,"Lawrence, SD",24312,846044,34799,29655
46083,"Lincoln, SD",46793,2599647,55556,38093
46085,"Lyman, SD",3806,196949,51747,26060
46087,"McCook, SD",5556,276724,49806,28991
46089,"McPherson, SD",2452,108871,44401,25632
46091,"Marshall, SD",4597,218819,47600,30824
46093,"Meade, SD",25546,1016765,39801,33357
46095,"Mellette, SD",2067,80855,39117,23502
46097,"Miner, SD",2359,120949,51271,27446
46099,"Minnehaha, SD",171752,7166153,41724,39652
46101,"Moody, SD",6475,341510,52743,32704
46103,"Pennington, SD",102815,4282722,41655,35312
46105,"Perkins, SD",3001,113783,37915,26581
46107,"Potter, SD",2364,167150,70706,29142
46109,"Roberts, SD",10286,390060,37921,28727
46111,"Sanborn, SD",2392,118468,49527,27443
46113,"Shannon, SD",13928,298766,21451,35003
46115,"Spink, SD",6470,461342,71305,30669
46117,"Stanley, SD",3002,147255,49052,29824
46119,"Sully, SD",1375,159592,116067,29735
46121,"Todd, SD",9822,239669,24401,30557
46123,"Tripp, SD",5615,281697,50169,28122
46125,"Turner, SD",8332,437081,52458,29085
46127,"Union, SD",14651,945828,64557,45165
46129,"Walworth, SD",5575,223194,40035,27429
46135,"Yankton, SD",22612,869616,38458,33879
46137,"Ziebach, SD",2852,79604,27912,31190
47001,"Anderson, TN",75233,2730119,36289,50003
47003,"Bedford, TN",45509,1403114,30832,33443
47005,"Benton, TN",16430,463308,28199,27258
47007,"Bledsoe, TN",12865,309879,24087,25728
47009,"Blount, TN",123901,3964164,31995,39927
47011,"Bradley, TN",100055,3170403,31687,37399
47013,"Campbell, TN",40512,1132919,27965,30195
47015,"Cannon, TN",13761,415810,30217,27167
47017,"Carroll, TN",28457,883793,31057,30758
47019,"Carter, TN",57185,1599016,27962,29476
47021,"Cheatham, TN",39078,1300052,33268,35124
47023,"Chester, TN",17141,480926,28057,29060
47025,"Claiborne, TN",32172,893217,27764,29645
47027,"Clay, TN",7761,212329,27358,25965
47029,"Cocke, TN",35544,913323,25696,30810
47031,"Coffee, TN",53016,1802454,33998,37550
47033,"Crockett, TN",14553,470187,32309,33044
47035,"Cumberland, TN",56632,1691634,29871,30129
47037,"Davidson, TN",635475,30069470,47318,49560
47039,"Decatur, TN",11687,394307,33739,34716
47041,"DeKalb, TN",18854,578663,30692,30554
47043,"Dickson, TN",50081,1546850,30887,33137
47045,"Dyer, TN",38192,1234878,32333,33950
47047,"Fayette, TN",38513,1678353,43579,35860
47049,"Fentress, TN",18020,507114,28142,27757
47051,"Franklin, TN",40917,1210299,29579,30241
47053,"Gibson, TN",49935,1519810,30436,30589
47055,"Giles, TN",29387,879534,29929,32418
47057,"Grainger, TN",22766,650351,28567,28431
47059,"Greene, TN",69339,2241821,32331,34534
47061,"Grundy, TN",13545,349298,25788,26148
47063,"Hamblen, TN",63062,1894032,30034,36171
47065,"Hamilton, TN",340855,13636649,40007,42179
47067,"Hancock, TN",6737,135270,20079,23252
47069,"Hardeman, TN",26834,711248,26505,34653
47071,"Hardin, TN",25874,854825,33038,36341
47073,"Hawkins, TN",56671,1621374,28610,37031
47075,"Haywood, TN",18470,585679,31710,33993
47077,"Henderson, TN",27912,767467,27496,32206
47079,"Henry, TN",32352,990912,30629,30719
47081,"Hickman, TN",24406,587328,24065,29222
47083,"Houston, TN",8333,247406,29690,26765
47085,"Humphreys, TN",18470,583022,31566,42382
47087,"Jackson, TN",11371,348195,30621,30961
47089,"Jefferson, TN",51666,1484971,28742,33759
47091,"Johnson, TN",18231,452241,24806,32831
47093,"Knox, TN",436929,16994073,38894,40993
47095,"Lake, TN",7779,157550,20253,26223
47097,"Lauderdale, TN",27748,639125,23033,30276
47099,"Lawrence, TN",42115,1098897,26093,30055
47101,"Lewis, TN",12142,295590,24344,25839
47103,"Lincoln, TN",33431,1070493,32021,30300
47105,"Loudon, TN",49237,1856138,37698,38014
47107,"McMinn, TN",52508,1501620,28598,35866
47109,"McNairy, TN",26094,698571,26771,28626
47111,"Macon, TN",22485,637517,28353,27803
47113,"Madison, TN",98255,3469897,35315,37410
47115,"Marion, TN",28223,906147,32107,32084
47117,"Marshall, TN",30881,791999,25647,31887
47119,"Maury, TN",81509,2567369,31498,39162
47121,"Meigs, TN",11737,341754,29118,32201
47123,"Monroe, TN",44882,1186150,26428,33449
47125,"Montgomery, TN",176619,7680293,43485,34221
47127,"Moore, TN",6411,219337,34213,35771
47129,"Morgan, TN",21838,541655,24803,32196
47131,"Obion, TN",31790,1029108,32372,39693
47133,"Overton, TN",22169,565609,25514,30832
47135,"Perry, TN",7898,215363,27268,26849
47137,"Pickett, TN",5122,135099,26376,25524
47139,"Polk, TN",16779,459948,27412,27103
47141,"Putnam, TN",72958,2288083,31362,32662
47143,"Rhea, TN",32079,866996,27027,38132
47145,"Roane, TN",53838,1891994,35142,51868
47147,"Robertson, TN",67106,2261373,33699,32809
47149,"Rutherford, TN",268921,8714005,32404,41154
47151,"Scott, TN",22160,521124,23516,27591
47153,"Sequatchie, TN",14346,456072,31791,27240
47155,"Sevier, TN",91466,2932819,32065,27112
47157,"Shelby, TN",935088,38116646,40763,48417
47159,"Smith, TN",19150,610470,31878,33718
47161,"Stewart, TN",13186,441422,33477,44576
47163,"Sullivan, TN",157419,5509632,35000,42929
47165,"Sumner, TN",163686,6007000,36698,35582
47167,"Tipton, TN",61293,2142722,34959,31574
47169,"Trousdale, TN",7816,293749,37583,28833
47171,"Unicoi, TN",18280,565034,30910,40381
47173,"Union, TN",19200,492719,25662,33956
47175,"Van Buren, TN",5483,151183,27573,28379
47177,"Warren, TN",39927,1093832,27396,32422
47179,"Washington, TN",124353,4379032,35215,35252
47181,"Wayne, TN",16951,375936,22178,26746
47183,"Weakley, TN",34980,1038164,29679,32258
47185,"White, TN",26149,660893,25274,29643
47187,"Williamson, TN",188560,11200357,59399,52450
47189,"Wilson, TN",116617,4485232,38461,38965
48001,"Anderson, TX",58308,1688944,28966,42055
48003,"Andrews, TX",15445,609066,39435,52369
48005,"Angelina, TX",87669,2930199,33423,35869
48007,"Aransas, TX",23374,993678,42512,30902
48009,"Archer, TX",8842,403985,45689,32144
48011,"Armstrong, TX",1928,83152,43129,26802
48013,"Atascosa, TX",45579,1378230,30238,35184
48015,"Austin, TX",28665,1128669,39374,43737
48017,"Bailey, TX",7247,254482,35115,33919
48019,"Bandera, TX",20538,747372,36390,29068
48021,"Bastrop, TX",75115,2138712,28473,33757
48023,"Baylor, TX",3741,135825,36307,29296
48025,"Bee, TX",32095,856856,26697,34372
48027,"Bell, TX",315196,12677681,40222,46585
48029,"Bexar, TX",1756153,63532926,36177,44189
48031,"Blanco, TX",10600,498659,47043,36161
48033,"Borden, TX",626,25474,40693,27343
48035,"Bosque, TX",18306,593690,32431,32097
48037,"Bowie, TX",92793,3281136,35360,37473
48039,"Brazoria, TX",319973,12375726,38677,46214
48041,"Brazos, TX",197632,5740301,29045,36031
48043,"Brewster, TX",9386,367356,39139,33662
48045,"Briscoe, TX",1651,45846,27769,27678
48047,"Brooks, TX",7222,219712,30423,37759
48049,"Brown, TX",38186,1227149,32136,31675
48051,"Burleson, TX",17251,591553,34291,40759
48053,"Burnet, TX",43117,1756336,40734,35941
48055,"Caldwell, TX",38442,983222,25577,32311
48057,"Calhoun, TX",21442,695003,32413,52995
48059,"Callahan, TX",13515,451568,33412,31585
48061,"Cameron, TX",414123,9622728,23236,29771
48063,"Camp, TX",12407,419707,33828,33288
48065,"Carson, TX",6259,243189,38854,71147
48067,"Cass, TX",30256,995394,32899,34104
48069,"Castro, TX",8116,391878,48285,33652
48071,"Chambers, TX",35552,1740947,48969,47614
48073,"Cherokee, TX",51140,1479124,28923,31862
48075,"Childress, TX",6984,158915,22754,27806
48077,"Clay, TX",10721,469528,43795,31208
48079,"Cochran, TX",3109,103621,33329,33238
48081,"Coke, TX",3305,107494,32525,26907
48083,"Coleman, TX",8763,289240,33007,27044
48085,"Collin, TX",812226,42576156,52419,54719
48087,"Collingsworth, TX",3092,98438,31836,31483
48089,"Colorado, TX",20816,812441,39030,34749
48091,"Comal, TX",111963,4984481,44519,35586
48093,"Comanche, TX",13891,506695,36476,30386
48095,"Concho, TX",4081,92358,22631,29814
48097,"Cooke, TX",38396,1757175,45765,42192
48099,"Coryell, TX",76508,2825588,36932,35110
48101,"Cottle, TX",1499,53528,35709,32865
48103,"Crane, TX",4383,159374,36362,56871
48105,"Crockett, TX",3722,133805,35950,33973
48107,"Crosby, TX",6092,190564,31281,37211
48109,"Culberson, TX",2383,72733,30522,30017
48111,"Dallam, TX",6866,299053,43556,40398
48113,"Dallas, TX",2416014,109691908,45402,57948
48115,"Dawson, TX",13751,366127,26625,32760
48117,"Deaf Smith, TX",19595,703068,35880,35858
48119,"Delta, TX",5212,162546,31187,25678
48121,"Denton, TX",686406,29084012,42371,41928
48123,"DeWitt, TX",20255,703393,34727,33041
48125,"Dickens, TX",2402,65138,27118,29841
48127,"Dimmit, TX",10118,347848,34379,42597
48129,"Donley, TX",3651,133883,36670,25967
48131,"Duval, TX",11669,411065,35227,38746
48133,"Eastland, TX",18633,959981,51520,36217
48135,"Ector, TX",140111,5378120,38385,48662
48137,"Edwards, TX",1966,66180,33662,30913
48139,"Ellis, TX",152753,5328740,34885,36852
48141,"El Paso, TX",820790,24695912,30088,36362
48143,"Erath, TX",38266,1206612,31532,29669
48145,"Falls, TX",17944,503744,28073,30202
48147,"Fannin, TX",33958,1008810,29708,33693
48149,"Fayette, TX",24732,988534,39970,36016
48151,"Fisher, TX",3914,133420,34088,31735
48153,"Floyd, TX",6394,228094,35673,30729
48155,"Foard, TX",1341,45172,33685,23926
48157,"Fort Bend, TX",606953,29464671,48545,48218
48159,"Franklin, TX",10551,349669,33141,32488
48161,"Freestone, TX",19684,621490,31573,40103
48163,"Frio, TX",17400,449550,25836,32510
48165,"Gaines, TX",18003,520901,28934,42454
48167,"Galveston, TX",295747,12848571,43444,43357
48169,"Garza, TX",6562,191903,29245,35572
48171,"Gillespie, TX",25114,1194175,47550,30986
48173,"Glasscock, TX",1251,40352,32256,34028
48175,"Goliad, TX",7243,215367,29735,31640
48177,"Gonzales, TX",19904,622392,31270,31801
48179,"Gray, TX",22755,885246,38903,44075
48181,"Grayson, TX",121419,4055831,33404,37991
48183,"Gregg, TX",123081,5319858,43222,43639
48185,"Grimes, TX",26887,844731,31418,42610
48187,"Guadalupe, TX",135757,5044267,37157,36259
48189,"Hale, TX",36498,1026334,28120,32132
48191,"Hall, TX",3377,79905,23662,26570
48193,"Hamilton, TX",8472,299631,35367,30690
48195,"Hansford, TX",5577,287355,51525,38539
48197,"Hardeman, TX",4176,130944,31356,29598
48199,"Hardin, TX",55246,2148084,38882,35802
48201,"Harris, TX",4180894,204593445,48935,61681
48203,"Harrison, TX",66296,2742736,41371,43356
48205,"Hartley, TX",5971,292101,48920,37557
48207,"Haskell, TX",5989,170352,28444,30789
48209,"Hays, TX",164050,5364409,32700,33043
48211,"Hemphill, TX",3970,231295,58261,47774
48213,"Henderson, TX",78826,2513876,31891,30934
48215,"Hidalgo, TX",797810,17248431,21620,30204
48217,"Hill, TX",35392,1141969,32266,30875
48219,"Hockley, TX",22892,859956,37566,42311
48221,"Hood, TX",51670,2105023,40740,34764
48223,"Hopkins, TX",35371,1158966,32766,34700
48225,"Houston, TX",23484,709807,30225,38369
48227,"Howard, TX",35122,1116221,31781,40159
48229,"Hudspeth, TX",3423,102427,29923,48560
48231,"Hunt, TX",86531,2746118,31736,41608
48233,"Hutchinson, TX",22132,825471,37298,50079
48235,"Irion, TX",1620,89059,54975,44545
48237,"Jack, TX",9035,342450,37903,42908
48239,"Jackson, TX",14032,476202,33937,36414
48241,"Jasper, TX",36296,1190414,32797,34114
48243,"Jeff Davis, TX",2288,80704,35273,31807
48245,"Jefferson, TX",252802,9786379,38712,47562
48247,"Jim Hogg, TX",5265,197133,37442,35345
48249,"Jim Wells, TX",41339,1645287,39800,44009
48251,"Johnson, TX",152734,5081300,33269,37616
48253,"Jones, TX",20146,538588,26734,31029
48255,"Karnes, TX",14946,409172,27377,33135
48257,"Kaufman, TX",105358,3571691,33901,35943
48259,"Kendall, TX",34781,2007104,57707,38583
48261,"Kenedy, TX",437,22303,51037,60142
48263,"Kent, TX",825,25878,31367,29090
48265,"Kerr, TX",49783,2119346,42572,34691
48267,"Kimble, TX",4632,171464,37017,36904
48269,"King, TX",255,15828,62071,58280
48271,"Kinney, TX",3630,111002,30579,37422
48273,"Kleberg, TX",32196,1086107,33734,35897
48275,"Knox, TX",3758,122705,32652,37316
48277,"Lamar, TX",50074,1657062,33092,35319
48279,"Lamb, TX",14167,422742,29840,33936
48281,"Lampasas, TX",19891,972625,48898,29257
48283,"La Salle, TX",7001,191307,27326,48046
48285,"Lavaca, TX",19347,731180,37793,31574
48287,"Lee, TX",16666,636167,38172,41058
48289,"Leon, TX",16916,593994,35114,41121
48291,"Liberty, TX",76206,2617939,34353,36863
48293,"Limestone, TX",23634,718981,30421,31478
48295,"Lipscomb, TX",3327,141233,42451,38106
48297,"Live Oak, TX",11447,412272,36016,38615
48299,"Llano, TX",19181,713759,37212,30870
48301,"Loving, TX",94,4823,51309,37171
48303,"Lubbock, TX",283910,9835768,34644,36034
48305,"Lynn, TX",5888,149589,25406,32595
48307,"McCulloch, TX",8290,323525,39026,39373
48309,"McLennan, TX",238564,8097533,33943,38597
48311,"McMullen, TX",690,36439,52810,41178
48313,"Madison, TX",13747,352262,25625,32280
48315,"Marion, TX",10507,323309,30771,27006
48317,"Martin, TX",4934,158188,32061,40212
48319,"Mason, TX",3984,141677,35561,27332
48321,"Matagorda, TX",36809,1225279,33287,45647
48323,"Maverick, TX",55405,1229327,22188,28916
48325,"Medina, TX",46367,1513307,32638,29602
48327,"Menard, TX",2264,68275,30157,24449
48329,"Midland, TX",140308,9144318,65173,55490
48331,"Milam, TX",24699,790449,32003,39308
48333,"Mills, TX",4848,173025,35690,27035
48335,"Mitchell, TX",9426,235665,25002,37804
48337,"Montague, TX",19710,791582,40161,32990
48339,"Montgomery, TX",471734,22882899,48508,45451
48341,"Moore, TX",21954,747763,34060,36681
48343,"Morris, TX",12848,448450,34904,47772
48345,"Motley, TX",1230,43684,35515,28236
48347,"Nacogdoches, TX",65466,1927413,29441,32697
48349,"Navarro, TX",48054,1591179,33112,32722
48351,"Newton, TX",14454,405293,28040,28624
48353,"Nolan, TX",15269,502560,32914,34306
48355,"Nueces, TX",343281,13196232,38441,41406
48357,"Ochiltree, TX",10530,452957,43016,44222
48359,"Oldham, TX",2074,94820,45718,35879
48361,"Orange, TX",82487,3147945,38163,42692
48363,"Palo Pinto, TX",28115,941758,33497,39084
48365,"Panola, TX",24058,953996,39654,40647
48367,"Parker, TX",118376,4961594,41914,39350
48369,"Parmer, TX",10332,413870,40057,34269
48371,"Pecos, TX",15716,470099,29912,43344
48373,"Polk, TX",45725,1735258,37950,33308
48375,"Potter, TX",122285,4122727,33714,40512
48377,"Presidio, TX",7761,218928,28209,47416
48379,"Rains, TX",11059,333215,30131,27109
48381,"Randall, TX",123351,4934141,40001,32523
48383,"Reagan, TX",3390,126040,37180,48775
48385,"Real, TX",3426,103793,30296,24320
48387,"Red River, TX",12703,402233,31664,28133
48389,"Reeves, TX",13757,323359,23505,34756
48391,"Refugio, TX",7291,291332,39958,39319
48393,"Roberts, TX",816,41419,50759,29336
48395,"Robertson, TX",16740,600273,35859,38869
48397,"Rockwall, TX",81290,4155207,51116,35569
48399,"Runnels, TX",10524,308931,29355,30433
48401,"Rusk, TX",53759,1656894,30821,41822
48403,"Sabine, TX",10740,337042,31382,42783
48405,"San Augustine, TX",8874,254714,28703,29284
48407,"San Jacinto, TX",26801,847093,31607,30684
48409,"San Patricio, TX",64726,2465196,38087,41984
48411,"San Saba, TX",6023,189025,31384,29164
48413,"Schleicher, TX",3309,109647,33136,37628
48415,"Scurry, TX",16919,642420,37970,46249
48417,"Shackelford, TX",3318,170863,51496,42859
48419,"Shelby, TX",25772,817929,31737,31913
48421,"Sherman, TX",3040,175170,57622,33454
48423,"Smith, TX",213381,8218435,38515,40627
48425,"Somervell, TX",8451,311074,36809,54256
48427,"Starr, TX",61715,1187110,19235,26754
48429,"Stephens, TX",9548,386205,40449,35931
48431,"Sterling, TX",1158,41503,35840,40414
48433,"Stonewall, TX",1472,59319,40298,31000
48435,"Sutton, TX",4007,316967,79103,99726
48437,"Swisher, TX",7801,284450,36463,31221
48439,"Tarrant, TX",1849815,75776982,40965,47644
48441,"Taylor, TX",132755,4929477,37132,36179
48443,"Terrell, TX",960,44616,46475,40312
48445,"Terry, TX",12675,384214,30313,38316
48447,"Throckmorton, TX",1609,77464,48144,27381
48449,"Titus, TX",32596,930371,28542,32524
48451,"Tom Green, TX",111823,4168641,37279,36085
48453,"Travis, TX",1063130,45925294,43198,52791
48455,"Trinity, TX",14659,416249,28395,27931
48457,"Tyler, TX",21666,641462,29607,31752
48459,"Upshur, TX",39826,1420328,35663,32244
48461,"Upton, TX",3346,150669,45030,49940
48463,"Uvalde, TX",26535,859853,32404,30181
48465,"Val Verde, TX",49106,1507636,30702,36206
48467,"Van Zandt, TX",52776,1791308,33942,30558
48469,"Victoria, TX",87545,3716460,42452,39720
48471,"Walker, TX",68087,1736768,25508,34093
48473,"Waller, TX",44013,1290457,29320,41464
48475,"Ward, TX",10716,414695,38699,50311
48477,"Washington, TX",33791,1494553,44229,34798
48479,"Webb, TX",256496,6408612,24985,32268
48481,"Wharton, TX",41314,1468965,35556,33874
48483,"Wheeler, TX",5465,242993,44463,36242
48485,"Wichita, TX",130698,4636734,35477,36062
48487,"Wilbarger, TX",13404,463394,34571,31405
48489,"Willacy, TX",22095,584680,26462,36564
48491,"Williamson, TX",442782,17740758,40067,50009
48493,"Wilson, TX",43789,1524305,34810,28788
48495,"Winkler, TX",7178,254768,35493,48854
48497,"Wise, TX",59833,2123689,35494,43295
48499,"Wood, TX",42164,1331319,31575,31830
48501,"Yoakum, TX",8005,328686,41060,52229
48503,"Young, TX",18484,739316,39998,37333
48505,"Zapata, TX",14282,359364,25162,43742
48507,"Zavala, TX",11849,247953,20926,24504
49001,"Beaver, UT",6594,197783,29994,36898
49003,"Box Elder, UT",50290,1516131,30148,37168
49005,"Cache, UT",114699,3169251,27631,32444
49007,"Carbon, UT",21318,701067,32886,40155
49009,"Daggett, UT",1156,33230,28746,33065
49011,"Davis, UT",311811,10837002,34755,40300
49013,"Duchesne, UT",18888,693671,36725,43832
49015,"Emery, UT",10944,354482,32391,59428
49017,"Garfield, UT",5144,139948,27206,28141
49019,"Grand, UT",9325,320801,34402,29912
49021,"Iron, UT",46740,1100323,23541,30160
49023,"Juab, UT",10335,251667,24351,31967
49025,"Kane, UT",7257,230618,31779,29747
49027,"Millard, UT",12645,375170,29669,37268
49029,"Morgan, UT",9685,322294,33278,36881
49031,"Piute, UT",1497,37281,24904,28404
49033,"Rich, UT",2303,72051,31286,25595
49035,"Salt Lake, UT",1048985,40995436,39081,45560
